/sentences,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
2128,1,12,positive,aluminum body,25,I liked the aluminum body.
81,2,20,positive,screen,26,Lightweight and the screen is beautiful!
89,3,,,,,"Buy it, love it, and I promise you won't regret it."
353,4,9,negative,build quality,22,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
353,4,30,negative,performance,41,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
347,5,,,,,pretty much everything else about the computer is good it just stops working out of no were.
1813,6,,,,,Originally bought it for my wife.
655,7,30,positive,costing,37,It was truly a great computer costing less than one thousand bucks before tax.
1615,8,,,,,I bought this laptop on Saturday and am completely in love with it!
1670,9,,,,,"If you don't like fingerprints, this might not be the laptop for you."
2443,10,0,positive,Boots up,8,Boots up fast and runs great!
2443,10,18,positive,runs,22,Boots up fast and runs great!
764,11,5,neutral,tech support,17,"Call tech support, standard email the form and fax it back in to us."
177,12,,,,,I did contact HP and share how unhappy I am.
3012,13,,,,,This is my second MacBook.
1479,14,4,positive,service,11,The service I received from Toshiba went above and beyond the call of duty.
2937,15,41,positive,internet speed,55,I would recommend it just because of the internet speed probably because thats the only thing i really care about.
439,16,,,,,This is my 3rd Apple Laptop and first MacBook Pro.
2925,17,,,,,I have had this laptop for a few months now and i would say im pretty satisfied.
929,18,,,,,The love part of my relationship with this laptop doesn't take very long.
2077,19,4,positive,screen,10,The screen shows great colors.
225,20,,,,,"Dells are ok, HPs aren't that good, but Macs or Fantastic."
2756,21,4,positive,battery life,16,"The battery life has not decreased since I bought it, so i'm thrilled with that."
2863,22,4,positive,price,9,The price and features more than met my needs.
2863,22,14,positive,features,22,The price and features more than met my needs.
1393,23,4,negative,mouse buttons,17,the mouse buttons are hard to push.
1837,24,,,,,Just don't waste your time and money on this.
921,25,,,,,"And I'm still paying the bloody financing, for a product which didn't last me at least three years!"
2817,26,,,,,Bought it to use mostly for oline classes.
1896,27,,,,,I purchased an HP right after my high school graduation.
341,28,,,,,Me and my boyfriend bought the Gateway NV78 in nov of 09.
36,29,46,negative,design,52,This is the complete opposite to an ergonomic design.
990,30,4,negative,technical service,21,The technical service for dell is so 3rd world it might as well not even bother.
2275,31,4,positive,built in camera,19,The built in camera is very useful when chatting with other techs in remote buildings on our campus.
2908,32,,,,,"Not super fancy, but not super expensive either."
214,33,0,positive,Keyboard,8,Keyboard good sized and wasy to use.
2777,34,6,positive,wifi,10,Great wifi too.
467,35,,,,,The Dell mini was the first Dell product that I had ever purchased.
47,36,,,,,My Mac has gone from being a trusted friend to an adversary.
361,37,,,,,I have been a mac user since the mid 90s.
168,38,,,,,My HP is very heavy.
2642,39,,,,,big mistake!
1000,40,,,,,Best Buy was great as always and accepted the return and gave me another model 1764.
2135,41,,,,,I would buy this lap top over and over again!
1733,42,0,negative,Games,5,Games being the main issue.
1822,43,,,,,My previous purchases were with Dell and HP.
3064,44,4,positive,price,9,The price is another driving influence that made me purchase this laptop.
1646,45,64,negative,price tag,73,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
1646,45,101,positive,software,109,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
1646,45,170,positive,updates,177,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
2988,46,33,positive,price,38,It's a great product for a great price!
2828,47,10,positive,speed,15,Excellent speed for processing data.
121,48,,,,,"All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole."
1967,49,,,,,In my opinion it was not as user friendly as I expected either.
1776,50,30,positive,twin packing,42,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
1776,50,74,positive,functions,83,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
2626,51,4,positive,switchable graphic card,27,The switchable graphic card is pretty sweet when you want gaming on the laptop.
2626,51,58,neutral,gaming,64,The switchable graphic card is pretty sweet when you want gaming on the laptop.
2967,52,30,neutral,battery life,42,I would like at least a 4 hr. battery life.
1800,53,,,,,"Looking online, many people are having the same problem."
2993,54,12,positive,speed,17,It has good speed and plenty of hard drive space.
2993,54,32,positive,hard drive space,48,It has good speed and plenty of hard drive space.
1037,55,4,negative,driver updates,18,"The driver updates don't fix the issue, very frustrating."
