/sentences,,,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectCategories/aspectCategory/@category,/sentence/aspectCategories/aspectCategory/@polarity,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
3121,1,service,negative,,,,,But the staff was so horrible to us.
3121,1,,,8,negative,staff,13,But the staff was so horrible to us.
2777,2,food,positive,,,,,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
2777,2,anecdotes/miscellaneous,negative,,,,,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
2777,2,,,57,positive,food,61,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
1634,3,food,positive,,,,,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
1634,3,,,4,positive,food,8,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
1634,3,,,55,positive,kitchen,62,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
1634,3,,,141,neutral,menu,145,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
2534,4,service,positive,,,,,Where Gabriela personaly greets you and recommends you what to eat.
583,5,anecdotes/miscellaneous,positive,,,,,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
2846,6,food,positive,,,,,"Not only was the food outstanding, but the little 'perks' were great."
2846,6,service,positive,,,,,"Not only was the food outstanding, but the little 'perks' were great."
2846,6,,,17,positive,food,21,"Not only was the food outstanding, but the little 'perks' were great."
2846,6,,,51,positive,perks,56,"Not only was the food outstanding, but the little 'perks' were great."
1571,7,food,negative,,,,,It is very overpriced and not very tasty.
1571,7,price,negative,,,,,It is very overpriced and not very tasty.
1458,8,food,positive,,,,,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
1458,8,service,positive,,,,,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
1458,8,,,27,positive,orrechiete with sausage and chicken,62,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
1458,8,,,76,positive,waiters,83,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
1458,8,,,152,neutral,meats,157,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
1458,8,,,113,neutral,dish,117,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
3161,9,food,positive,,,,,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
3161,9,,,4,positive,Bagels,10,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
2391,10,food,positive,,,,,Nevertheless the food itself is pretty good.
2391,10,,,17,positive,food,21,Nevertheless the food itself is pretty good.
296,11,food,negative,,,,,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
296,11,,,41,negative,toast,46,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
296,11,,,18,negative,mayonnaise,28,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
296,11,,,126,negative,bacon,131,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
296,11,,,73,neutral,cheese,79,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
296,11,,,57,negative,ingredients,68,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
296,11,,,170,neutral,plate,175,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
296,11,,,86,neutral,omelet,92,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
1793,12,service,conflict,,,,,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
1793,12,,,82,neutral,drinks,88,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
1793,12,,,32,neutral,check,37,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
2200,13,ambience,positive,,,,,The design and atmosphere is just as good.
2200,13,,,4,positive,design,10,The design and atmosphere is just as good.
2200,13,,,15,positive,atmosphere,25,The design and atmosphere is just as good.
3195,14,food,positive,,,,,He has visited Thailand and is quite expert on the cuisine.
3195,14,,,51,positive,cuisine,58,He has visited Thailand and is quite expert on the cuisine.
3119,15,anecdotes/miscellaneous,positive,,,,,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
3359,16,food,positive,,,,,The pizza is the best if you like thin crusted pizza.
3359,16,,,4,positive,pizza,9,The pizza is the best if you like thin crusted pizza.
3359,16,,,34,neutral,thin crusted pizza,52,The pizza is the best if you like thin crusted pizza.
70,17,anecdotes/miscellaneous,positive,,,,,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
1829,18,anecdotes/miscellaneous,neutral,,,,,"He can't help, they're bought up so fast."
2935,19,ambience,negative,,,,,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
1805,20,anecdotes/miscellaneous,neutral,,,,,"i have eaten here a handful of times, for no reason besides sheer convenience."
2559,21,service,positive,,,,,Obviously run by folks who know a pie.
716,22,anecdotes/miscellaneous,negative,,,,,We were very disappointed.
2464,23,anecdotes/miscellaneous,positive,,,,,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
2464,23,price,positive,,,,,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
385,24,anecdotes/miscellaneous,positive,,,,,I really liked this place.
1350,25,anecdotes/miscellaneous,positive,,,,,I will be going back very soon.
3534,26,ambience,positive,,,,,"All the money went into the interior decoration, none of it went to the chefs."
3534,26,food,negative,,,,,"All the money went into the interior decoration, none of it went to the chefs."
3534,26,,,28,positive,interior decoration,47,"All the money went into the interior decoration, none of it went to the chefs."
3534,26,,,72,negative,chefs,77,"All the money went into the interior decoration, none of it went to the chefs."
