/sentences,,,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectCategories/aspectCategory/@category,/sentence/aspectCategories/aspectCategory/@polarity,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
813,1,food,positive,,,,,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
813,1,,,8,positive,appetizers,18,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
813,1,,,23,positive,salads,29,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
813,1,,,49,positive,steak,54,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
813,1,,,82,positive,pasta,87,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
1579,2,food,positive,,,,,And really large portions.
1579,2,,,17,positive,portions,25,And really large portions.
2707,3,anecdotes/miscellaneous,positive,,,,,Go inside and you won't want to leave.
3126,4,anecdotes/miscellaneous,negative,,,,,Save yourself the time and trouble and skip this one!
2882,5,food,conflict,,,,,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
2882,5,,,4,positive,sweet lassi,15,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
2882,5,,,41,positive,lamb chettinad,55,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
2882,5,,,64,positive,garlic naan,75,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
2882,5,,,84,negative,rasamalai,93,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
1609,6,service,positive,,,,,Service was quick.
1609,6,,,0,positive,Service,7,Service was quick.
3018,7,price,negative,,,,,"Oh, don't even let me start with how expensive the bills were!"
3018,7,,,51,negative,bills,56,"Oh, don't even let me start with how expensive the bills were!"
3292,8,service,positive,,,,,Service is top notch.
3292,8,,,0,positive,Service,7,Service is top notch.
2041,9,food,positive,,,,,The best thing I tasted were the lambc hops.
2041,9,,,33,positive,lambc hops,43,The best thing I tasted were the lambc hops.
2609,10,anecdotes/miscellaneous,positive,,,,,Overall I would recommend it and go back again.
1194,11,anecdotes/miscellaneous,negative,,,,,I've been here a couple of times and have not been impressed.
3440,12,food,positive,,,,,"Even though its good seafood, the prices are too high."
3440,12,price,negative,,,,,"Even though its good seafood, the prices are too high."
3440,12,,,21,positive,seafood,28,"Even though its good seafood, the prices are too high."
3440,12,,,34,negative,prices,40,"Even though its good seafood, the prices are too high."
870,13,food,positive,,,,,"In addition, the food is very good and the prices are reasonable."
870,13,price,positive,,,,,"In addition, the food is very good and the prices are reasonable."
870,13,,,17,positive,food,21,"In addition, the food is very good and the prices are reasonable."
870,13,,,43,positive,prices,49,"In addition, the food is very good and the prices are reasonable."
